iteration	traits	posterior_prob	regional_prob	candidate_snp	posterior_explained_by_snp	dropped_trait
5	pct, plt	0.9623	0.9979	10:27444344	0.1159	NA
1	bipolar, UKBB_sbp	0.9315	0.9787	10:28246274	0.9978	NA
1	bipolar, SCZ	1	1	10:50343022	1	NA
5	hct, hgb	0.7204	0.7228	10:50074767	0.5477	NA
9	crohns, ibd	0.7566	0.7733	10:50294670	0.6908	NA
1	bipolar, SCZ	0.8933	1	10:52555732	0.8193	NA
1	bipolar, SCZ	0.9998	1	10:54379638	0.9998	NA
1	bipolar, crohns, ibd, SCZ	0.8602	0.883	10:56663265	0.9963	NA
3	lymph_p, neut_p	0.9848	0.9861	10:6069561	0.9992	NA
4	crohns, ibd	0.9964	0.9991	10:6102012	0.9491	NA
5	lymph, wbc	0.7495	0.763	10:6077845	0.4573	NA
3	lymph_p, neut_p	0.9848	0.9861	10:6069561	0.9992	NA
4	crohns, ibd	0.9964	0.9991	10:6102012	0.9491	NA
5	lymph, wbc	0.7495	0.763	10:6077845	0.4573	NA
3	lymph_p, neut_p	0.9847	0.9861	10:6069561	0.9992	NA
4	crohns, ibd	0.9967	0.9991	10:6102012	0.9492	NA
5	lymph, wbc	0.7501	0.763	10:6077845	0.4573	NA
1	bipolar, cad, pct	0.8607	0.8896	10:63811678	0.9892	NA
7	lymph, lymph_p, mono_p	0.8008	0.8283	10:63721176	0.8696	NA
1	bipolar, cad, pct, UKBB_sbp	0.8997	0.9217	10:63811678	0.9899	NA
6	lymph, lymph_p, mono_p	0.8007	0.8283	10:63721176	0.8696	NA
1	bipolar, SCZ	1	1	10:64214282	1	NA
11	cad, pct, UKBB_sbp	0.8263	0.8649	10:63811678	0.442	NA
1	eo_p, eo_p_gran, neut_p_gran	0.9682	1	10:64398466	0.7339	NA
2	crohns, ibd	0.998	1	10:64445564	1	NA
3	mpv, SCZ	0.9619	0.9977	10:64401056	1	NA
5	gran_p_myeloid_wbc, lymph, mono, pct	0.7239	0.8499	10:64566258	0.9706	NA
1	eo_p, eo_p_gran, neut_p_gran	0.9682	1	10:64398466	0.7339	NA
2	crohns, ibd	0.998	1	10:64445564	1	NA
3	mpv, SCZ	0.9619	0.9977	10:64401056	1	NA
5	gran_p_myeloid_wbc, lymph, mono, pct	0.7228	0.8499	10:64566258	0.9706	NA
1	eo_p, eo_p_gran, neut_p_gran	0.9682	1	10:64398466	0.7339	NA
2	crohns, ibd	0.998	1	10:64445564	1	NA
3	mpv, SCZ	0.9619	0.9977	10:64401056	1	NA
5	gran_p_myeloid_wbc, lymph, mono, pct	0.7078	0.8499	10:64566258	0.9706	NA
1	baso_neut_sum, baso_p, baso_p_gran, gran, gran_p_myeloid_wbc, Klarin_LDL, mono_p, mpv, myeloid_wbc, neut, neut_eo_sum, neut_p, pdw, plt, wbc, BMI	0.707	0.7661	10:65066186	0.5029	NA
2	crohns, ibd, mono	0.8752	0.9426	10:64611581	0.2794	NA
3	SCZ, UKBB_sbp	0.9948	0.9988	10:64695143	0.9896	NA
5	DepAffect, hlr, hlr_p, irf, mch, mcv, rbc	0.7895	0.8058	10:64926226	1	NA
7	eo_p, eo_p_gran, lymph, neut_p_gran	0.8505	0.9282	10:64623708	0.295	NA
1	baso_neut_sum, baso_p, baso_p_gran, gran, gran_p_myeloid_wbc, Klarin_LDL, mono_p, mpv, myeloid_wbc, neut, neut_eo_sum, neut_p, pdw, plt, wbc, BMI	0.7024	0.7661	10:65066186	0.5029	NA
4	DepAffect, hlr, hlr_p, irf, mch, mcv, rbc	0.7894	0.8058	10:64926226	1	NA
6	eo_p, eo_p_gran, lymph, neut_p_gran	0.8678	0.9282	10:64623708	0.2959	NA
7	crohns, ibd, mono	0.9159	0.9509	10:64611581	0.4839	NA
4	DepAffect, hlr, hlr_p, irf, mch, mcv	0.7631	0.7852	10:64926226	1	NA
2	mpv, plt	0.9969	1	10:65066186	0.9882	NA
4	DepAffect, hlr, hlr_p, irf, mch, mcv	0.7514	0.7852	10:64926226	1	NA
2	mpv, pct, plt	0.8895	0.9116	10:65066186	0.9896	NA
3	DepAffect, hlr, hlr_p, irf, mch, mcv	0.7513	0.7852	10:64926226	1	NA
2	mpv, pct, plt	0.8895	0.9116	10:65066186	0.9896	NA
3	DepAffect, hlr, hlr_p, irf, mch, mcv	0.7513	0.7852	10:64926226	1	NA
2	mpv, pct, plt	0.8893	0.9116	10:65066186	0.9896	NA
3	DepAffect, hlr, hlr_p, irf, mch, mcv	0.7444	0.7848	10:64926226	0.9946	NA
2	Klarin_TG, rbc	0.7713	0.8911	10:65150959	0.0577	NA
6	DepAffect, hlr, hlr_p, irf, mch, mcv	0.7447	0.7848	10:64926226	0.9946	NA
2	Klarin_TG, rbc	0.7681	0.8911	10:65150959	0.0577	NA
6	DepAffect, hlr, hlr_p, irf, mch, mcv	0.7437	0.7848	10:64926226	0.9946	NA
2	Klarin_TG, rbc	0.7681	0.8911	10:65150959	0.0577	NA
6	DepAffect, hlr, hlr_p, irf, mch, mcv	0.7437	0.7848	10:64926226	0.9946	NA
2	Klarin_TG, rbc	0.7517	0.8911	10:65150959	0.0577	NA
6	DepAffect, hlr, hlr_p, irf, mch, mcv	0.7428	0.7848	10:64926226	0.9946	NA
2	Klarin_TG, rbc	0.7534	0.8909	10:65150959	0.0583	NA
6	DepAffect, hlr, hlr_p, irf, mch, mcv	0.7443	0.7848	10:64926226	0.9946	NA
2	Klarin_TG, rbc	0.7534	0.8909	10:65150959	0.0583	NA
6	DepAffect, hlr, hlr_p, irf, mch, mcv	0.7443	0.7848	10:64926226	0.9946	NA
2	Klarin_TG, rbc	0.7566	0.8909	10:65150959	0.0583	NA
2	Klarin_TG, rbc	0.7568	0.8909	10:65150959	0.0583	NA
2	Klarin_TG, rbc	0.7615	0.8921	10:65150959	0.06	NA
2	Klarin_TG, rbc	0.7621	0.8921	10:65150959	0.06	NA
2	Klarin_TG, rbc	0.7644	0.8925	10:65150959	0.061	NA
5	pct, plt	0.7021	0.7096	10:65133156	0.5124	NA
5	pct, plt	0.7009	0.7058	10:65261184	1	NA
1	bipolar, SCZ	1	1	10:70486325	1	NA
2	hlr, hlr_p, ret, ret_p	0.782	0.7977	10:70381893	0.8082	NA
3	Klarin_TG, T2D	0.8872	0.8987	10:70342775	0.4128	NA
1	hlr, hlr_p, irf, pct, plt, ret, ret_p	0.783	0.8266	10:81114060	0.8677	NA
3	bipolar, T2D	0.9574	1	10:80942620	1	NA
1	hlr, hlr_p, irf, pct, plt, ret, ret_p	0.783	0.8266	10:81114060	0.8677	NA
3	bipolar, T2D	0.9574	1	10:80942620	1	NA
1	hlr, hlr_p, irf, pct, plt, ret, ret_p	0.783	0.8266	10:81114060	0.8677	NA
3	bipolar, T2D	0.9574	1	10:80942620	1	NA
1	hlr, hlr_p, irf, pct, plt, ret, ret_p, SCZ	0.7971	0.8491	10:81121960	1	NA
2	bipolar, T2D	0.9574	1	10:80942620	1	NA
1	hlr, hlr_p, irf, pct, plt, ret, ret_p, SCZ	0.7971	0.8491	10:81121960	1	NA
2	bipolar, T2D	0.9574	1	10:80942620	1	NA
1	hlr, hlr_p, irf, pct, plt, ret, ret_p, SCZ	0.7971	0.8491	10:81121960	1	NA
2	bipolar, T2D	0.9574	1	10:80942620	1	NA
4	hct, hgb	0.9658	0.9881	10:82181434	0.2809	NA
2	eo_p, eo_p_gran, neut_p_gran	0.9855	1	10:9054325	0.8607	NA
2	eo_p, eo_p_gran, neut_p_gran	0.9853	0.998	10:89731870	0.9902	NA
2	eo_p, eo_p_gran, neut_p_gran	0.9853	0.998	10:89731870	0.9902	NA
1	bipolar, SCZ	0.9744	1	10:90212662	0.9982	NA
2	eo_p, eo_p_gran, neut_p_gran	0.9855	1	10:9054325	0.8607	NA
2	eo_p, eo_p_gran, neut_p_gran	0.9855	1	10:9054325	0.8607	NA
2	eo_p, eo_p_gran, neut_p_gran	0.9855	1	10:9054325	0.8607	NA
2	eo_p, eo_p_gran, neut_p_gran	0.9855	1	10:9054325	0.8607	NA
7	Klarin_TG, T2D	0.8861	0.8984	10:93691840	1	NA
7	Klarin_TG, T2D	0.8861	0.8984	10:93691840	1	NA
1	Klarin_TG, pct, plt	0.9933	1	10:94839642	0.7488	NA
1	Klarin_TG, pct, plt	0.9933	1	10:94839642	0.7488	NA
1	Klarin_TG, pct, plt	0.9933	1	10:94839642	0.7488	NA
1	Klarin_TG, pct, plt	0.9933	1	10:94839642	0.7488	NA
1	Klarin_TG, pct, plt	0.9933	1	10:94839642	0.7488	NA
1	Klarin_TG, pct, plt	0.9933	1	10:94839642	0.7488	NA
1	baso_neut_sum, gran, neut, neut_eo_sum	0.8647	0.8992	10:97069739	0.6786	NA
4	mpv, plt	0.8206	0.825	10:97053775	0.998	NA
4	gran_p_myeloid_wbc, hct, hgb, mono, mono_p, plt, rbc	0.8237	0.869	1:10431132	0.3944	NA
4	gran_p_myeloid_wbc, hct, hgb, mono, mono_p, plt, rbc	0.8009	0.8696	1:10431132	0.3977	NA
5	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc	0.824	0.8322	1:10743363	0.7846	NA
6	cad, lymph, UKBB_sbp	0.8417	0.8766	1:10796866	0.8164	NA
1	bipolar, SCZ	1	1	1:107548745	1	NA
5	cad, lymph, UKBB_sbp	0.8418	0.8766	1:10796866	0.8164	NA
4	cad, lymph, UKBB_sbp	0.8418	0.8766	1:10796866	0.8164	NA
4	cad, lymph, UKBB_sbp	0.8418	0.8766	1:10796866	0.8164	NA
1	bipolar, SCZ	1	1	1:108286632	1	NA
1	bipolar, SCZ	1	1	1:108286632	1	NA
5	T2D, BMI	0.7663	0.7795	1:109955569	0.5706	NA
5	T2D, BMI	0.766	0.7794	1:109955569	0.5706	NA
5	T2D, BMI	0.766	0.7794	1:109955569	0.5706	NA
1	SCZ, T2D	0.7836	0.805	11:99913789	0.9997	NA
5	T2D, BMI	0.7716	0.7844	1:109955569	0.5706	NA
5	T2D, BMI	0.7716	0.7844	1:109955569	0.5706	NA
1	hlr, hlr_p, UKBB_sbp	0.9954	1	11:100610546	0.9986	NA
2	ret, ret_p	0.9883	1	11:100456604	0.3005	NA
6	pct, plt, wbc	0.9221	0.9294	11:100502331	0.9999	NA
5	T2D, BMI	0.7716	0.7844	1:109955569	0.5706	NA
1	hlr, hlr_p, UKBB_sbp	0.9954	1	11:100610546	0.9986	NA
2	ret, ret_p	0.9883	1	11:100456604	0.3005	NA
6	pct, plt, wbc	0.9225	0.9294	11:100502331	0.9999	NA
1	hlr, hlr_p, UKBB_sbp	0.9954	1	11:100610546	0.9986	NA
2	ret, ret_p	0.9883	1	11:100456604	0.3005	NA
6	pct, plt, wbc	0.9225	0.9294	11:100502331	0.9999	NA
1	Klarin_LDL, Klarin_TC	0.9976	1	1:109919525	0.8939	NA
1	Klarin_LDL, Klarin_TC	0.9976	1	1:109919525	0.8939	NA
1	Klarin_LDL, Klarin_TC	0.9976	1	1:109919525	0.8939	NA
1	Klarin_LDL, Klarin_TC	0.9976	1	1:109919525	0.8939	NA
2	hct, hgb, rbc	0.9855	1	11:10162445	0.6488	NA
5	cad, UKBB_sbp	0.7131	0.7379	11:10275120	0.199	NA
3	hct, hgb, rbc	0.9855	1	11:10162445	0.6488	NA
5	cad, UKBB_sbp	0.7141	0.7379	11:10275120	0.199	NA
3	hct, hgb, rbc	0.9855	1	11:10162445	0.6488	NA
5	cad, UKBB_sbp	0.7141	0.7379	11:10275120	0.199	NA
3	hct, hgb, rbc	0.9855	1	11:10162445	0.6488	NA
5	cad, UKBB_sbp	0.7141	0.7379	11:10275120	0.199	NA
1	baso_neut_sum, gran, mch, mcv, myeloid_wbc, neut, neut_eo_sum, pct, plt, rbc, wbc	0.9535	0.9917	11:108288808	0.9999	NA
1	baso_neut_sum, gran, mch, mcv, myeloid_wbc, neut, neut_eo_sum, pct, plt, rbc, wbc	0.9471	0.9916	11:108288808	0.9877	NA
1	baso_neut_sum, gran, mch, mcv, myeloid_wbc, neut, neut_eo_sum, pct, plt, rbc, wbc	0.9471	0.9916	11:108288808	0.9877	NA
7	DepAffect, UKBB_sbp	0.924	0.9998	11:112849719	0.135	NA
7	DepAffect, UKBB_sbp	0.924	0.9998	11:112849719	0.135	NA
7	DepAffect, UKBB_sbp	0.924	0.9998	11:112849719	0.135	NA
7	DepAffect, UKBB_sbp	0.924	0.9998	11:112849719	0.135	NA
7	DepAffect, UKBB_sbp	0.924	0.9998	11:112849719	0.135	NA
7	DepAffect, UKBB_sbp	0.924	0.9998	11:112849719	0.135	NA
3	Klarin_TG, Worry	0.8526	0.8757	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8527	0.8757	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
3	Klarin_TG, Worry	0.8528	0.8758	11:113364647	0.1717	NA
1	bipolar, rbc	0.9257	0.9386	11:113994505	1	NA
4	gran_p_myeloid_wbc, mono_p	1	1	11:113952419	1	NA
22	hct, hgb	0.7518	0.76	11:116423307	0.3399	NA
1	bipolar, hlr, hlr_p, ret, ret_p	0.8909	0.9977	11:116571250	1	NA
2	pdw, UKBB_chol	0.9932	1	11:116639104	0.8215	NA
6	cad, mchc	0.9855	1	11:116662579	0.9977	NA
12	hct, hgb	0.7502	0.7586	11:116423307	0.3398	NA
1	bipolar, hlr, hlr_p, ret, ret_p	0.8909	0.9977	11:116571250	1	NA
2	pdw, UKBB_chol	0.9932	1	11:116639104	0.8215	NA
6	cad, mchc	0.9855	1	11:116662579	0.9977	NA
12	hct, hgb	0.7502	0.7586	11:116423307	0.3398	NA
1	bipolar, hlr, hlr_p, ret, ret_p	0.8909	0.9977	11:116571250	1	NA
2	pdw, UKBB_chol	0.9932	1	11:116639104	0.8215	NA
6	cad, mchc	0.9855	1	11:116662579	0.9977	NA
12	hct, hgb	0.7502	0.7586	11:116423307	0.3398	NA
1	bipolar, hlr, hlr_p, ret, ret_p	0.8909	0.9977	11:116571250	1	NA
2	pdw, UKBB_chol	0.9932	1	11:116639104	0.8215	NA
6	cad, mchc	0.9855	1	11:116662579	0.9977	NA
12	hct, hgb	0.7502	0.7586	11:116423307	0.3398	NA
1	bipolar, hlr, hlr_p, ret, ret_p	0.8909	0.9977	11:116571250	1	NA
2	pdw, UKBB_chol	0.9932	1	11:116639104	0.8215	NA
6	cad, mchc	0.9855	1	11:116662579	0.9977	NA
12	hct, hgb	0.7501	0.7585	11:116423307	0.3398	NA
1	bipolar, hlr, hlr_p, ret, ret_p	0.8909	0.9977	11:116571250	1	NA
2	pdw, UKBB_chol	0.9932	1	11:116639104	0.8215	NA
6	cad, mchc	0.9855	1	11:116662579	0.9977	NA
12	hct, hgb	0.7501	0.7585	11:116423307	0.3398	NA
1	bipolar, hlr, hlr_p, ret, ret_p	0.8909	0.9977	11:116571250	1	NA
2	pdw, UKBB_chol	0.9932	1	11:116639104	0.8215	NA
6	cad, mchc	0.9855	1	11:116662579	0.9977	NA
12	hct, hgb	0.7501	0.7585	11:116423307	0.3398	NA
1	bipolar, hlr, hlr_p, ret, ret_p	0.8908	0.9977	11:116571250	1	NA
2	pdw, UKBB_chol	0.9932	1	11:116639104	0.8215	NA
6	cad, mchc	0.9855	1	11:116662579	0.9977	NA
12	hct, hgb	0.7503	0.7587	11:116423307	0.3398	NA
1	bipolar, hlr, hlr_p, ret, ret_p	0.8908	0.9977	11:116571250	1	NA
